"TRIGRAMME","NOM_VALIDE","CD_NOM","STATUT_FR"
"Chavulsub","Chara vulgaris f. subhispida Mig., 1897",931968,"P"
"Chavulcra","Chara vulgaris var. crassicaulis (Schleich. ex A.Braun) Kütz., 1849",73576,"P"
"Chavulgym","Chara vulgaris var. gymnophylla (A.Braun) C.F.Nyman, 1884",676656,"P"
"Chavullon","Chara vulgaris var. longibracteata (Kütz.) J.Groves & Bullock-Webster, 1924",73577,"P"
"Chavuloed","Chara vulgaris var. oedophylla (G.Feldmann) R.D.Wood, 1962",932697,"P"
"Lamprothamnium","Lamprothamnium J.Groves, 1916",193838,"P"
"Lampap","Lamprothamnium papulosum (K.Wallroth) J.Groves, 1916",73093,"P"
"Lampapara","Lamprothamnium papulosum f. aragonense (Reyes-Prósper) R.D.Wood, 1962",627630,"P"
"Lampappou","Lamprothamnium papulosum f. pouzolsii (J.Gay ex A.Braun) R.D.Wood, 1962",650791,"P"
"Lampaphan","Lamprothamnium papulosum var. hansenii (C. Sonder) J.C. van Raam, 2010",627620,"P"
"Lampaptol","Lamprothamnium papulosum var. toletanum (Prósper) R.D.Wood, 1962",627619,"P"
"Lychnothamnus","Lychnothamnus (Rupr.) A.Braun, 1856",650843,"P"
"Lycbar","Lychnothamnus barbatus (L.Meyen) Leonh., 1863",650844,"P"
"Lycbarspi","Lychnothamnus barbatus f. spinosus (G.B.Amici) R.D.Wood, 1965",650846,"P"
"Nitella","Nitella C.Agardh, 1824",195232,"P"
"Nitcap","Nitella capillaris (A.J.Krocker) J.Groves & Bull.-Webst., 1920",74335,"P"
"Nitche","Nitella chevallierii Hy, 1892",74337,"P"
"Nitcon","Nitella confervacea (Bréb.) A.Braun ex Leonh., 1863",74338,"P"
"Nitfle","Nitella flexilis (L.) C.Agardh, 1824",74339,"P"
"Nitgra","Nitella gracilis (Sm.) C.Agardh, 1824",627577,"P"
"Nitgramot","Nitella gracilis f. motelayana Hy, 1913",931986,"P"
"Nithya","Nitella hyalina (DC.) C.Agardh, 1824",627574,"P"
"Nithyamax","Nitella hyalina f. maxima A.Braun ex Migula, 1897",627655,"P"
"Nitmuc","Nitella mucronata (A.Braun) Miq., 1840",627578,"P"
"Nitmuchet","Nitella mucronata f. heteromorpha A.Braun, 1847",694614,"P"
"Nitmucten","Nitella mucronata f. tenuior (A.Braun) Feldmann, 1946",694611,"P"
"Nitmucbra","Nitella mucronata var. brachyteles (A.Braun) J.C.van Raam, 2010",627654,"P"
"Nitopa","Nitella opaca (C.Agardh ex Bruzelius) C.Agardh, 1824",74346,"P"
"Nitorn","Nitella ornithopoda A.Braun, 1863",74347,"P"
"Nitsyn","Nitella syncarpa (Thuillier) Chevallier, 1827",932012,"P"
"Nitsynthu","Nitella syncarpa var. thuilleri A. Br.",74350,"P"
"Nitten","Nitella tenuissima (Desv.) Kützing, 1843",627579,"P"
"Nittenmin","Nitella tenuissima var. minor A. Br.",74352,"P"
"Nittra","Nitella translucens (Pers.) C.Agardh, 1824",74353,"P"
"Nitellopsis","Nitellopsis Hy, 1889",195233,"P"
"Nitobt","Nitellopsis obtusa (Desv.) J.Groves, 1919",74355,"P"
"Tolypella","Tolypella (A.Braun) A.Braun, 1857",198485,"P"
"Tolglo","Tolypella glomerata (Desv.) Leonh., 1863",75093,"P"
"Tolhis","Tolypella hispanica Nordst. ex T.F.Allen, 1888",75094,"P"
"Tolint","Tolypella intricata (Trentep. ex Roth) Leonh., 1863",75095,"P"
"Tolnid","Tolypella nidifica (O.F.Müll.) Leonh., 1864",627563,"P"
"Tolpro","Tolypella prolifera (Ziz ex A.Braun) Leonh., 1863",75096,"P"
"Tolsal","Tolypella salina R.Corillion, 1960",75097,"P"
"Col","Coleochaetophyceae",914309,"P"
"Col2","Coleochaetales",626250,"P"
"Coleochaetaceae","Coleochaetaceae",626251,"P"
"Coleochaete","Coleochaete Bréb., 1844",191025,"P"
"Collev","Coleochaete leve (Bailey) Sarma & Chapman, 1975",648840,"P"
"Colorb","Coleochaete orbicularis Pringsheim, 1860",648841,"P"
"Colpul","Coleochaete pulvinata A.Braun, 1849",653400,"D"
"Colscu","Coleochaete scutata Breb.",73755,"P"
"Colsol","Coleochaete soluta (Bréb.) Pringsheim, 1860",648842,"P"
"ConEng","Conjugatophyceae Engler",699647,"P"
"Des","Desmidiales",646931,"P"
"Closteriaceae","Closteriaceae Bessey, 1907",699646,"P"
"Closterium","Closterium Nitzsch ex Ralfs, 1848",190949,"P"
"Cloabr","Closterium abruptum W. West",73045,"P"
"Cloabrmai","Closterium abruptum var. maius (Huber-Pestalozzi) Willi Krieg. in Rabenh., 1935",648764,"P"
"Cloace","Closterium acerosum Ehrenberg ex Ralfs, 1848",73046,"P"
"Cloacebor","Closterium acerosum var. borgei Krieger, 1935",648767,"P"
"Cloaceelo","Closterium acerosum var. elongatum Brebisson",73047,"P"
"Cloacemin","Closterium acerosum var. minus Hantzsch",73048,"P"
"Cloaci","Closterium aciculare T.West, 1860",625893,"P"
"Cloacirob","Closterium aciculare var. robustius Chodat, 1898",648768,"P"
"Cloacu","Closterium acutum Bréb., 1848",73050,"P"
"Cloaculat","Closterium acutum var. latius Grönblad, 1935",653289,"D"
"Cloaculin","Closterium acutum var. linea (Perty) West & G.S.West, 1900",648772,"P"
"Cloacuvar","Closterium acutum var. variabile (Lemmerm.) Willi Kreiger, 1935",625894,"P"
"Cloang","Closterium angustatum Kütz. ex Ralfs, 1848",73051,"P"
"Cloanggra","Closterium angustatum var. gracilius Croasdale, 1955",648773,"P"
"Cloangscu","Closterium angustatum var. sculptum (Racib.) Ruzicka, 1977",648774,"P"
"Cloarc","Closterium archerianum Cleve",73052,"P"
"Cloarccom","Closterium archerianum var. compressum G.A.Klebs, 1879",648775,"P"
"Cloarcpse","Closterium archerianum var. pseudocynthia Ruzicka, 1973",648776,"P"
"Cloatt","Closterium attenuatum Ehrenb.",73053,"P"
"Clobai","Closterium baillyanum (Bréb. ex Ralfs) Brébisson, 1856",73054,"P"
"Clobaialp","Closterium baillyanum var. alpinum (Viret) Gronblad",73055,"P"
"Clobaimul","Closterium baillyanum var. multinucleatum (Nordst.) Grönblad, 1919",648777,"P"
"Clobra","Closterium braunii Reinsch, 1867",625895,"P"
"Clocal","Closterium calosporum Wittr.",73056,"P"
"Clocalbra","Closterium calosporum var. brasiliense Børgesen, 1890",648780,"P"
"Clocalmai","Closterium calosporum var. maius W. & G. s. West.",73057,"P"
"Clocalmaj","Closterium calosporum var. major W. & G.S. West",720962,"P"
"Clocer","Closterium ceratium Perty",73058,"P"
"Cloclo","Closterium closterioides (Ralfs) A.Louis & Peeters, 1967",648781,"P"
"Clocloint","Closterium closterioides var. intermedium (J.Roy & Bisset) Ruzicka, 1973",648782,"P"
"Clocor","Closterium cornu Ehrenberg ex Ralfs, 1848",73059,"P"
"Clocorbra","Closterium cornu var. brasiliense Börgesen, 1891",648783,"P"
"Clocorjav","Closterium cornu var. javanicum Gutw., 1902",792084,"P"
"Clocorups","Closterium cornu var. upsaliense Nordst., 1889",894956,"P"
"Clocos","Closterium costatum Corda",73060,"P"
"Clocoscur","Closterium costatum var. curtum Bréb., 1856",648785,"P"
"Clocoswes","Closterium costatum var. westii Cushman, 1905",648786,"P"
"Clocyn","Closterium cynthia De not.",73061,"P"
"Clodec","Closterium decorum Bréb., 1856",625896,"P"
"Clodel","Closterium delpontei (Klebs) Wolle, 1885",648788,"P"
"Clodia","Closterium dianae Ehrenberg ex Ralfs, 1848",73063,"P"
"Clodiaarc","Closterium dianae var. arcuatum (Brebisson ex Ralfs) Rabenh., 1868",73064,"P"
"Clodiabre","Closterium dianae var. brevius (S.P.Petkoff) Willi Krieg., 1935",648789,"P"
"Clodiacom","Closterium dianae var. compressum Klebs, 1879",894957,"P"
"Clodiamin","Closterium dianae var. minus Hieron., 1895",648790,"P"
"Clodiapse","Closterium dianae var. pseudodianae (Roy) Krieg., 1935",73065,"P"
"Clodid","Closterium didymotocum Corda ex Ralfs, 1848",73066,"P"
"Clodidbre","Closterium didymotocum var. brebissonianum Rabenh., 1868",835278,"P"
"Clodir","Closterium directum W.Archer, 1862",625897,"P"
"Clodirana","Closterium directum var. anastomosum (West & G.S.West) K.Förster, 1981",884075,"P"
"Clodirrec","Closterium directum var. recurvatum (Roll) Willi Krieger, 1935",999390,"P"
"Cloebo","Closterium eboracense W.B.Turner in Cooke, 1887",648791,"P"
"Cloehrmal","Closterium ehrenbergii var. malinvernianum (De Not.) Rabenh., 1868",73068,"P"
"Cloehr","Closterium ehrenbergii Menegh.",73067,"P"
"Cloehratu","Closterium ehrenbergii var. atumidum Gronblad, 1935",648792,"P"
"Cloexi","Closterium exiguum West & G.S.West, 1902",648793,"P"
"Cloexi2","Closterium exile West & G.S.West, 1905",894958,"P"
"Clofus","Closterium fusiforme F.Gay, 1884",648794,"P"
"Clogra","Closterium gracile Bréb. ex Ralfs, 1848",73069,"P"
"Clograten","Closterium gracile var. tenue (Lemmerm.) West & West, 1902",73071,"P"
"Cloidi","Closterium idiosporum West & G.S.West, 1900",627077,"P"
"Cloinc","Closterium incurvum Breb.",73072,"P"
"Cloint","Closterium intermedium Ralfs",73073,"P"
"Clointhib","Closterium intermedium var. hibernicum West & G.S.West, 1894",648797,"P"
"Clojen","Closterium jenneri Ralfs",73074,"P"
"Clojenrob","Closterium jenneri var. robustum G.S.West, 1899",648798,"P"
"Clojoh","Closterium johnsonii West & West, 1898",720323,"P"
"Clojun","Closterium juncidum Ralfs, 1848",73075,"P"
"Clojunelo","Closterium juncidum var. elongatum Roy & Bisset, 1894",73692,"P"
"Clokue","Closterium kuetzingii Breb.",73693,"P"
"CloKütvit","Closterium Kützingii var. vittatum Nordst., 1887",648800,"P"
"Clolan","Closterium lanceolatum Kütz. ex Ralfs, 1848",73694,"P"
"Clolanmaj","Closterium lanceolatum var. majus Bréb., 1856",648801,"P"
"Clolanpar","Closterium lanceolatum var. parvum West & G.S.West, 1897",894959,"P"
"Clolat","Closterium laterale Nordst., 1880",648802,"P"
"Clolei","Closterium leibleinii Kuetzing",73695,"P"
"Clolim","Closterium limneticum Lemmerm., 1899",625898,"P"
"Clolin","Closterium lineatum Ehrenb.",73700,"P"
"Clolinelo","Closterium lineatum var. elongatum (K.Rosa) Croasdale, 1955",648803,"P"
"Clolit","Closterium littorale Gay, 1884",73701,"P"
"Clolitcra","Closterium littorale var. crassum West & G.S.West, 1896",894980,"P"
"Clolun","Closterium lunula Ehrenb.& Hemprich ex Ralfs, 1848",73702,"P"
"Clolunbic","Closterium lunula var. biconvexum Schmidle, 1895",648805,"P"
"Clolunint","Closterium lunula var. intermedium Gutw., 1896",999329,"P"
"Clolunmas","Closterium lunula var. massartii (De Wild.) Willi Krieg., 1937",720035,"P"
"Clomac","Closterium macilentum Breb.",73706,"P"
"Clomacjap","Closterium macilentum var. japonicum (Suringar) Willi Krieg., 1935",648806,"P"
"Clomacsub","Closterium macilentum var. substriatum (Gronbl.) Krieger",73707,"P"
"Clomal","Closterium malinvernianiforme Gronbl.",73708,"P"
"Clomon","Closterium moniliferum (Bory.) Ehrenberg",73709,"P"
"Clomoncon","Closterium moniliferum var. concavum G.A.Klebs, 1879",648807,"P"
"Clomonthu","Closterium moniliferum var. thuretii Bréb., 1856",648809,"P"
"Clonav","Closterium navicula (Breb.) Lütkem., 1905",73710,"P"
"Clonor","Closterium nordstedtii Chodat, 1898",73711,"P"
"Clonorpol","Closterium nordstedtii var. polystictum (Nygaard) Ruzicka, 1975",999332,"P"
"Clopar","Closterium parvulum Nägeli, 1849",73712,"P"
"Cloparang","Closterium parvulum var. angustum West & G.S.West, 1900",648810,"P"
"Cloparcor","Closterium parvulum var. cornutum (Playfair) Willi Krieger, 1937",999384,"P"
"Cloparmai","Closterium parvulum var. maius (Schmidle) Willi Krieg., 1935",648811,"P"
"Clopra","Closterium praegrande Rabenh., 1863",648812,"P"
"Clopra2","Closterium praelongum Breb.",73714,"P"
"Clopri","Closterium pritchardianum Archer.",73715,"P"
"Clopro","Closterium pronum Breb.",73716,"P"
"Clopse","Closterium pseudolunula Borge, 1909",648813,"P"
"Clopse2","Closterium pseudopusillum Messikommer, 1956",648814,"P"
"Clopus","Closterium pusillum Hantzsch",73717,"P"
"Clopyg","Closterium pygmaeum Gutn.",73718,"P"
"Cloral","Closterium ralfsii Breb.",73719,"P"
"Cloralhyb","Closterium ralfsii var. hybridum Rabenh.",73720,"P"
"Cloreg","Closterium regulare Bréb., 1856",648815,"P"
"Cloros","Closterium rostratum Ehrenberg",73721,"P"
"Clorosbre","Closterium rostratum var. brevirostratum West, 1889",648816,"P"
"Cloroslae","Closterium rostratum var. laevigatum Bréb., 1856",648817,"P"
"Closet","Closterium setaceum Ehrenberg",73723,"P"
"Closetelo","Closterium setaceum var. elongatum West & G.S.West, 1905",648818,"P"
"Closetvit","Closterium setaceum var. vittatum Grönblad, 1945",648819,"P"
"Clos-r","Closterium s-romanum Hub.-Pest., 1925",999383,"P"
"Clostr","Closterium strigosum Bréb., 1856",73724,"P"
"Clostrele","Closterium strigosum var. elegans (G.S.West) Willi Krieg., 1935",73725,"P"
"Clostr2","Closterium striolatum Ehrb.",73726,"P"
"Clostrsub","Closterium striolatum var. subtruncatum (West & G.S.West) Willi Krieg., 1935",648823,"P"
"Closub","Closterium subjuncidiforme Grönblad, 1920",648824,"P"
"Closub2","Closterium sublaterale R?ži?ka, 1958",894981,"P"
"Closub3","Closterium subscoticum Gutw., 1902",720036,"P"
"Closub4","Closterium subtile Bréb., 1856",648826,"P"
"Closub5","Closterium subulatum (Kutz.) Breb.",73728,"P"
"Clotet","Closterium tetractinium F.Gay, 1884",648828,"P"
"Clotox","Closterium toxon West.",73729,"P"
"Clotum","Closterium tumidulum F.Gay, 1884",648829,"P"
"Clotum2","Closterium tumidum Johns.",73730,"P"
"Clotummin","Closterium tumidum f. minus K.M.Strøm, 1926",648830,"P"
"Clotumnyl","Closterium tumidum var. nylandicum Grönblad, 1921",648831,"P"
"Clotur","Closterium turgidum Ehrenb.",73731,"P"
"Cloturbor","Closterium turgidum var. borgei Deflandre, 1925",648832,"P"
"Cloulnstr","Closterium ulna f. striatum Prescott, 1975",648834,"P"
"Cloven","Closterium venus Kütz. ex Ralfs, 1848",73733,"P"
"Clovenwes","Closterium venus var. westii Willi Krieger, 1935",894982,"P"
"Clowal","Closterium wallichii W.B.Turner, 1892",648835,"P"
"Desmidiaceae","Desmidiaceae Ralfs, 1848",525144,"P"
"Actinotaenium","Actinotaenium (Nägeli) Teiling, 1954",188805,"P"
"Actcap","Actinotaenium capax (Joshua) Teiling, 1954",719920,"P"
"Actcapmin","Actinotaenium capax var. minus (Schmidle) Teiling ex Ruzicka & Pouzar, 1978",719922,"P"
"Actcle","Actinotaenium clevei (P.Lundell) Teiling, 1954",999292,"P"
"Actcol","Actinotaenium colpopelta (Bréb. ex W.Archer) Compère, 1976",670118,"P"
"Actcru","Actinotaenium cruciferum (De Bary) Teiling, 1954",653283,"P"
"Actcuc","Actinotaenium cucurbita (Bréb. ex Ralfs) Teiling, 1954",627011,"P"
"Actcuc2","Actinotaenium cucurbitinum (Bisset) Teiling, 1954",627012,"P"
"Actcucmin","Actinotaenium cucurbitinum f. minus (West & G.S.West) Teiling, 1954",720029,"P"
"Actcucmin2","Actinotaenium cucurbitinum var. minutum (Prescott) G.H.Tomaszewicz, 1988",894913,"P"
"Actcur","Actinotaenium curtum (Bréb. ex Ralfs) Teiling, 1978",73409,"P"
"Actcurmin","Actinotaenium curtum f. minus (Rabenh.) Teiling ex Croasdale, 1981",720953,"P"
"Actcuratt","Actinotaenium curtum var. attenuatum (Bréb. ex Ralfs) Teiling ex Ruzicka & Pouzar, 1978",652713,"P"
"Actdid","Actinotaenium didymocarpum (P.Lundell) Coesel & Delfos, 1986",652714,"P"
"Actdip","Actinotaenium diplosporum (P.Lundell) Teiling, 1954",627013,"P"
"Actdipmaj","Actinotaenium diplosporum f. majus (W.West) Teiling, 1954",652715,"P"
"Actgen","Actinotaenium geniculatum Kouwets, 1988",652716,"P"
"Actglo","Actinotaenium globosum (Bulnh.) K.Förster ex Compère, 1976",648950,"P"
"Actglomin","Actinotaenium globosum f. minus (Boldt) Förster ex Compère, 1976",648952,"P"
"Actinc","Actinotaenium inconspicuum (West & G.S.West) Teiling, 1954",652717,"P"
"Actinccur","Actinotaenium inconspicuum var. curvatum Kouwets, 1991",652718,"P"
"Actkri","Actinotaenium kriegeri (Messikommer) Kouwets, 1997",652719,"P"
"Actmes","Actinotaenium messikommeri Ruzicka & Pouzar, 1978",652720,"P"
"Actmin","Actinotaenium minutissimum (Nordst.) Teiling, 1954",835185,"P"
"Actmoo","Actinotaenium mooreanum (W.Archer) Teiling, 1954",652721,"P"
"Actobc","Actinotaenium obcuneatum (W.West) Teiling, 1954",652722,"P"
"Actpal","Actinotaenium palangula (Bréb. ex Ralfs) Teiling, 1954",652723,"P"
"Actper","Actinotaenium perminutum (G.S.West) Teiling, 1954",652724,"P"
"Actphy","Actinotaenium phymatosporum Nordst.",73412,"P"
"Actpin","Actinotaenium pinicola Rosa, 1959",652725,"P"
"Actruf","Actinotaenium rufescens (Cleve) Teiling, 1954",652727,"P"
"Actsil","Actinotaenium silvae-nigrae (Rabanus) Kouwets & Coesel, 1984",652729,"P"
"Actsilpar","Actinotaenium silvae-nigrae var. parallelum (Willi Krieg.) Kouwets & Coesel, 1984",652730,"P"
"Actspi","Actinotaenium spinospermum (Joshua) Kouwets & Coesel, 1984",626979,"P"
"Actsub","Actinotaenium subtile (West & G.S.West) Teiling, 1954",652731,"P"
"Acttru","Actinotaenium truncatum (Breb.) Teil.",73413,"P"
"Acttur","Actinotaenium turgidum (Bréb. ex Ralfs) Teiling, 1954",652732,"P"
"Actwol","Actinotaenium wollei (West & G.S.West) Teiling, 1954",652734,"P"
"Bambusina","Bambusina Kütz. ex Kütz., 1849",189732,"P"
"Bambor","Bambusina borreri (Ralfs) Cleve, 1864",73473,"P"
"Cosmarium","Cosmarium Corda ex Ralfs, 1848",191201,"P"
"Cosabb","Cosmarium abbreviatum Racib., 1885",73764,"P"
"Cosabbger","Cosmarium abbreviatum var. germanicum (Racib.) Willi Krieg. & Gerloff, 1969",648848,"P"
"Cosabbmin","Cosmarium abbreviatum var. minus (West & G.S.West) Willi Krieg. & Gerloff, 1969",648849,"P"
"Cosabr","Cosmarium abruptum P.M.Lundell, 1871",648850,"P"
"Cosado","Cosmarium adoxum West & G.S.West, 1897",648851,"P"
"Cosadoden","Cosmarium adoxum var. denticulatum G.S.West, 1914",648852,"P"
"Cosalp","Cosmarium alpestre J.Roy & Bisset in J.Roy, 1893",648853,"P"
"Cosalp2","Cosmarium alpicolum Schmidle, 1895",792098,"P"
"Cosamo","Cosmarium amoenum Bréb. ex Ralfs, 1848",73768,"P"
"Cosamomed","Cosmarium amoenum var. mediolaeve Nordst., 1887",648854,"P"
"Cosanc","Cosmarium anceps Lund.",73769,"P"
"Cosang","Cosmarium angulare L.N.Johnson, 1894",965563,"P"
"Cosang2","Cosmarium angulosum Bréb., 1856",73770,"P"
"Cosangcon","Cosmarium angulosum var. concinnum (Rabenh.) West & G.S.West, 1901",73771,"P"
"Cosani","Cosmarium anisochondrum Nordst., 1878",648855,"P"
"Cosann","Cosmarium annulatum (Nägeli) De Bary, 1858",73772,"P"
"Cosaph","Cosmarium aphanichondrum Nordst., 1876",720964,"P"
"Cosarc","Cosmarium arctoum Nordst., 1875",73774,"P"
"Cosarccon","Cosmarium arctoum var. constrictum Gronblad & Scott, 1958",648860,"P"
"Cosasp","Cosmarium asphaerosporum Wittrock, 1879",73776,"P"
"Cosaspcor","Cosmarium asphaerosporum var. corribense (West & G.S.West) Willi Krieg. & Gerloff, 1969",627017,"P"
"Cosaspstr","Cosmarium asphaerosporum var. strigosum Nordst.",73777,"P"
"Cosast","Cosmarium asterosporum Coesel, 1989",648861,"P"
"Cosasy","Cosmarium asymmetricum Rich, 1935",648862,"P"
"Cosbai","Cosmarium baileyi Wolle, 1884",648863,"P"
"Cosbal","Cosmarium balteum W. West & G.S West, 1896",719860,"P"
"Cosbalcol","Cosmarium balteum var. coloradense Cushman, 1904",719862,"P"
"Cosber","Cosmarium berryense Kouwets, 1998",648865,"P"
"Cosbic","Cosmarium bicuneatum (F.Gay) Nordst., 1889",792099,"P"
"Cosbin","Cosmarium binodulum Reinsch, 1875",648866,"P"
"Cosbin2","Cosmarium binum Nordst.",73779,"P"
"Cosbio","Cosmarium bioculatum Bréb. ex Ralfs, 1848",73780,"P"
"Cosbiocan","Cosmarium bioculatum var. canadense Willi Krieg. & Gerloff, 1962",648867,"P"
"Cosbiodep","Cosmarium bioculatum var. depressum (Schaarschmidt) Schmidle, 1894",648868,"P"
"Cosbiohia","Cosmarium bioculatum var. hians West",73781,"P"
"Cosbip","Cosmarium bipunctatum Borg.",73782,"P"
"Cosbir","Cosmarium bireme Nordst., 1888",648869,"P"
"Cosbir2","Cosmarium biretum Bréb. ex Ralfs, 1848",625805,"P"
"Cosbirtri","Cosmarium biretum var. trigibberum Nordst., 1875",719863,"P"
"Cosbis","Cosmarium biscarrossense Capdev., 1983",648870,"P"
"Cosbly","Cosmarium blyttii Wille, 1880",73783,"P"
"Cosblyaus","Cosmarium blyttii f. australiacum Schmidle, 1896",648871,"P"
"Cosblynov","Cosmarium blyttii var. novae-sylvae West & G.S.West, 1897",648873,"P"
"Cosboe","Cosmarium boeckii Wille",73785,"P"
"Cosboi","Cosmarium boitierense Kouwets, 1998",648874,"P"
"Cosboiina","Cosmarium boitierense var. inambitiosum Kouwets, 1998",648875,"P"
"Cosbot","Cosmarium botrytis Menegh. ex Ralfs, 1848",73786,"P"
"Cosbotdep","Cosmarium botrytis var. depressum West & G.S.West, 1905",648877,"P"
"Cosbotema","Cosmarium botrytis var. emarginatum Hansg., 1888",648878,"P"
"Cosbotgem","Cosmarium botrytis var. gemmiferum (Bréb.) Nordst., 1888",648879,"P"
"Cosbotmed","Cosmarium botrytis var. mediolaeve West.",73788,"P"
"Cosbotpax","Cosmarium botrytis var. paxillosporum West & G.S.West, 1912",648880,"P"
"Cosbotsub","Cosmarium botrytis var. subtumidum Wittr.",73790,"P"
"Cosbottum","Cosmarium botrytis var. tumidum Wolle, 1884",648881,"P"
"Cosbra","Cosmarium braunii Wittr.",73791,"P"
"Cosbre","Cosmarium brebissonii Menegh.",73793,"P"
"Cosbro","Cosmarium broomei Thwaites",73794,"P"
"Coscaespe","Cosmarium caelatum var. spectabile (De Not.) Nordst., 1876",73796,"P"
"Coscae","Cosmarium caelatum Ralfs, 1848",73795,"P"
"Coscaeelo","Cosmarium caelatum f. elongata F.Gay, 1892",648882,"P"
"Coscaehex","Cosmarium caelatum var. hexagonum West, 1890",648883,"P"
"Coscal","Cosmarium calcareum Wittrock, 1872",648884,"P"
"Coscalspe","Cosmarium calcareum var. spetsbergense (Borge) Kurt Först., 1972",894983,"P"
"Coscal2","Cosmarium calodermum (Gay) de Toni, 1884",648885,"P"
"Coscan","Cosmarium canaliculatum West & G.S.West, 1896",648886,"P"
"Coscap","Cosmarium capitulum J.Roy & Bissett, 1886",721943,"P"
"Coscapgro","Cosmarium capitulum var. groenlandicum Børgesen, 1894",648887,"P"
"Coscar","Cosmarium carinthiacum Lütkem. in Grønblad, 1942",648889,"P"
"Coscin","Cosmarium cinctutum Nordst., 1875",648890,"P"
"Coscir","Cosmarium circulare Reinsch, 1867",648891,"P"
"Coscirmin","Cosmarium circulare var. minus Hansg., 1888",648892,"P"
"Coscle","Cosmarium clepshydra Spencer, 1882",648893,"P"
"Coscle2","Cosmarium clepsydra Nordst., 1870",793169,"P"
"Cosclebic","Cosmarium clepsydra var. bicardia (Reinsch) Croasdale, 1956",648894,"P"
"Coscledel","Cosmarium clepsydra var. delaunayi Manguin, 1936",648895,"P"
"Coscli","Cosmarium clippertonensis W.R. Taylor, 1939",705123,"A"
"Coscoa","Cosmarium coarctatum West",73798,"P"
"Coscom","Cosmarium commissurale Bréb. ex Ralfs, 1848",73799,"P"
"Coscomacu","Cosmarium commissurale var. acutum Bréb., 1856",648896,"P"
"Coscon","Cosmarium connatum Bréb. ex Ralfs, 1848",73800,"P"
"Coscon2","Cosmarium conspersum Ralfs, 1848",648856,"P"
"Cosconlat","Cosmarium conspersum var. latum (Bréb.) West & G.S.West, 1912",648857,"P"
"Cosconsub","Cosmarium conspersum var. subrotundatum West, 1892",648897,"P"
"Coscon3","Cosmarium contractum O.Kirchner, 1878",73801,"P"
"Cosconell","Cosmarium contractum var. ellipsoideum (Elfving) West & G.S.West, 1902",648898,"P"
"Coscongar","Cosmarium contractum var. gartanense West & G.S.West, 1902",648899,"P"
"Cosconinc","Cosmarium contractum var. incrassatum A.M.Scott & Prescott, 1958",648901,"P"
"Cosconind","Cosmarium contractum var. indentatum (Grönblad) Willi Krieg. & Gerloff, 1962",648902,"P"
"Cosconmin","Cosmarium contractum var. minutum (Delponte) Coesel, 1989",653401,"D"
"Cosconret","Cosmarium contractum var. retusum (West & G.S.West) Willi Krieg. & Gerloff, 1962",648903,"P"
"Coscon4","Cosmarium controversum West, 1890",894985,"P"
"Coscor","Cosmarium corbula (Bréb.) Bréb., 1856",648904,"P"
